User,iID,Timestamp,Flower,Bud,Fruit
ToughFox,00-2ETjwqubszxftC6Ptwdr5a,1426001933,True,False,False
ToughFox,00-5ETrDXM9nxc8EPVMCKDUYa,1426001964,False,False,False
ToughFox,00-5TnJmrqmnbfCBaSzwtFD2C,1426001976,True,False,False
ToughFox,00-5fkVPkSTdwERVhmFtbiLWn,1426001983,False,False,False
ToughFox,00-6THnqp3YaaowtFR3FiV7F,1426001992,True,False,False
ToughFox,00-8ooMC4SipqCSygM2FVPCW3,1426002001,False,False,False
ToughFox,00-9RV62N4GeTbghnzHjW3Wr8,1426002015,False,True,False
ToughFox,00-9coFEJQWqzK6PVYKbNZ5AD,1426002021,False,False,False
ToughFox,00-BKtyEaJShaDxX68SSBRuXS,1426002026,False,False,True
ToughFox,00-CRyK9JgPYxLEqM3yMTWrTT,1426002033,False,True,False
ToughFox,00-CsR6EuMi6Gq7XGfZqPYufG,1426002040,False,False,False
ToughFox,00-DmsicryceSiBq4tZoubT6L,1426002047,True,False,False
ToughFox,00-GUkT3UPRGuNbrF4G5eJC8P,1426002054,False,False,False
ToughFox,00-JQu566UvCTmAZvCB7JRQ47,1426002059,False,False,True
ToughFox,00-JeQaqWxhVkrQV6WCXqKUKK,1426002064,False,False,True
ToughFox,00-KFydstm4zxXyW3g2W9hSD5,1426002075,False,True,False
ToughFox,00-KULV9VK7YxDvFJ97RbaQqT,1426002081,False,False,True
ToughFox,00-PbzhqRH6ijW7TYfZv54xM7,1426002088,False,False,False
ToughFox,00-RJinmvBGxa6bJneA3bdoCJ,1426002093,False,False,False
ToughFox,00-Skcrv8GsH8AgfDdQugdJkM,1426002099,True,False,False
ToughFox,00-UGjU3ngkpAHgxv5vwpHyWe,1426002104,False,False,True
ToughFox,00-URHEQ9m4pajGHDPdpU2sDZ,1426002109,False,False,True
ToughFox,00-XZdNz2PRgx9DWsX454pAbF,1426002114,False,False,True
ToughFox,00-XfioUrt66NGcJrYh3694Sh,1426002124,False,False,False
ToughFox,00-YewxgFCnguCvBJQdQrBx2e,1426002130,False,False,True
ToughFox,00-ZJorpeMSE7Z3t7aKCLQtSS,1426002134,False,False,True
ToughFox,00-ZjivzcyW5JcGbEc9sFcuBS,1426002144,True,False,False
ToughFox,00-a4mmQdzEzRymF3ACkdrbdV,1426002149,False,False,True
ToughFox,00-aekeSDuCXcAkGSCYwLsfgJ,1426002154,False,False,False
ToughFox,00-b9rorCGECnfa3WVaiGjBn5,1426002160,False,False,True
ToughFox,00-bJJzKWVpEbKYSN64Lj6BAX,1426002165,False,False,True
